paradigm,schedule,p,nodes,resolution,max_iter,pruning,symmetry,T_min,T_median,T_mean,W,lambda_row,lambda_block,cov,speedup,efficiency,karp_flatt_e,comm_fraction,gflops,occupancy,warp_divergence,transfer_time,checksum
cuda,512x1,1,1,1024x1024,1000,0,0,0.00598814,0.006183113,0.006518655667,259655490,2.763759565,,0.9679585338,120.2802937,120.2802937,,,346.8930119,1,10215.09974,0.0002202239931,9203734293765563287
cuda,64x4,1,1,1024x1024,1000,0,0,0.006244235,0.0065348315,0.006863351,259655490,2.763759565,,0.9679585338,115.2907053,115.2907053,,,332.6658782,1,10215.09974,0.0002161920071,9203734293765563287
cuda,64x4,1,1,1024x1024,1000,0,0,0.006091351,0.006582164,0.006639882833,259655490,2.763759565,,0.9679585338,118.2422812,118.2422812,,,341.0153051,1,10215.09974,0.0002184959948,9203734293765563287
cuda,8x32,1,1,1024x1024,1000,0,0,0.005865159,0.006269646,0.0064891262,259655490,2.763759565,,0.9679585338,122.7421553,122.7421553,,,354.166685,1,3688.62315,0.0002240960002,9203734293765563287
cuda,8x32,1,1,1024x1024,1000,0,0,0.005751526,0.006052251,0.0112084549,259655490,2.763759565,,0.9679585338,125.228546,125.228546,,,361.1639624,1,3688.62315,0.0002213760018,9203734293765563287
cuda,256x1,1,1,2048x2048,500,0,0,0.010445953,0.010605351,0.0108230026,531246830,2.732366347,,0.9487649849,140.0356235,140.0356235,,,406.8537011,1,1330.517847,0.0007394239902,10682239026435575055
cuda,256x1,1,1,2048x2048,1000,0,0,0.0191311,0.019653173,0.0198544345,1038538536,2.77157378,,0.9681283442,150.6066216,150.6066216,,,434.282832,1,5835.318144,0.0008751360178,14144270813106266507
cuda,256x1,1,1,2048x2048,5000,0,0,0.087474388,0.0882467605,0.08931557177,5086649408,2.809283878,,0.9853918185,162.5395748,162.5395748,,,465.2012571,1,165109.72,0.0007310079932,6510831182777291471
cuda,256x1,1,1,4096x4096,1000,0,0,0.075704964,0.076118326,0.0763305649,4154110032,2.775726711,,0.9681129303,152.2073263,152.2073263,,,438.9788793,1,3154.498236,0.002833888054,17079968439232892467
cuda,256x1,1,1,512x512,1000,0,0,0.00256502,0.002604846,0.002680569567,64917922,2.764565138,,0.9679202145,70.44107492,70.44107492,,,202.4714723,1,18012.38001,8.956799656e-05,18092340902946371711
mpi,block,2,1,1024x1024,1000,0,0,0.361134505,0.362800671,0.362840578,259655490,2.763759565,1,0.9679585338,1.994284664,0.9971423321,0.002865857618,0.001253737856,5.751995147,,,,9203734293765563287
mpi,cyclic,2,1,1024x1024,1000,0,0,0.362515736,0.363745806,0.3636852234,259655490,2.763759565,1,0.9679585338,1.986686186,0.9933430931,0.006701518271,0.001835812722,5.730079314,,,,9203734293765563287
mpi,dynamic,2,1,1024x1024,1000,0,0,0.361994888,0.363125727,0.3636062122,259655490,2.763759565,1,0.9679585338,1.989544684,0.9947723419,0.0052551301,0.00434896611,5.738323907,,,,9203734293765563287
mpi,block,4,1,1024x1024,1000,0,0,0.339654358,0.34043911,0.3408295028,259655490,2.763759565,1.879793414,0.9679585338,2.120405607,0.5301014016,0.2954771778,0.0007746257152,6.115758185,,,,9203734293765563287
mpi,cyclic,4,1,1024x1024,1000,0,0,0.181264714,0.182820468,0.1840645906,259655490,2.763759565,1.879793414,0.9679585338,3.973222306,0.9933055766,0.002246513593,0.002484305909,11.4597258,,,,9203734293765563287
mpi,dynamic,4,1,1024x1024,1000,0,0,0.181541938,0.182528134,0.1824783732,259655490,2.763759565,1.879793414,0.9679585338,3.967154989,0.9917887472,0.002759745239,0.006786458069,11.4422262,,,,9203734293765563287
mpi,block,8,1,1024x1024,1000,0,0,0.212549478,0.21390437,0.2176534444,259655490,2.763759565,2.348926634,0.9679585338,3.388411074,0.4235513842,0.1944269463,0.001404778797,9.772989986,,,,9203734293765563287
